Radiocrómica,Círculo,X,Y,Dosis_Original,Inc_Original,Promedio_Original,Inc_Promedio_Original,Promedio_Corregido_CTR,Inc_Promedio_Corregido_CTR
RC_1,C1,852,242,"0.77317, 0.7973, 1.0548","±0.00028, ±0.0003, ±0.0013",0.87509,±0.00062,0.84958,±0.00076
RC_1,C16M (CTR),1751,256,"0.01156, 0.0184, 0.047","±0.00012, ±0.0002, ±0.001",0.02551,±0.00044,0.00000,±0.00044
RC_1,C2,847,669,"1.67149, 1.68827, 2.0629","±0.00051, ±0.00041, ±0.0014",1.80757,±0.00078,1.7821,±0.0009
RC_1,C3,1274,676,"3.3934, 3.25956, 3.6420","±0.0012, ±0.00071, ±0.0018",3.4317,±0.0012,3.4062,±0.0013
RC_1,C4,1697,685,"4.801, 4.6670, 4.9827","±0.002, ±0.0011, ±0.0023",4.8167,±0.0018,4.7912,±0.0019
RC_2,C1 (CTR),1243,1355,"0.0072, -0.01184, -0.147","±0.0001, ±0.00017, ±0.001",-0.05061,±0.00042,0.00000,±0.00042
RC_2,C2,815,1359,"3.6812, 3.5866, 3.9259","±0.0016, ±0.0011, ±0.0023",3.7312,±0.0016,3.7818,±0.0017
RC_2,C3,1667,1363,"1.40255, 1.4418, 1.6654","±0.00043, ±0.0004, ±0.0014",1.50326,±0.00074,1.55387,±0.00085
RC_2,C4,819,1784,"12.247, 11.4138, 11.7503","±0.025, ±0.0053, ±0.0055",11.804,±0.012,11.855,±0.012
RC_2,C5,1669,1784,"6.008, 5.7008, 5.9404","±0.003, ±0.0015, ±0.0025",5.8832,±0.0023,5.9338,±0.0023
RC_2,C6,1245,1785,"9.2672, 8.8523, 8.7430","±0.0063, ±0.0029, ±0.0034",8.9542,±0.0042,9.0048,±0.0042
RC_3,C1,856,2469,"3.6517, 3.59794, 4.136","±0.0014, ±0.00089, ±0.002",3.7953,±0.0014,3.7665,±0.0015
RC_3,C17M (CTR),1702,2454,"-0.0019, 0.01183, 0.07659","±0.0001, ±0.00017, ±0.00089",0.02883,±0.00039,0.00000,±0.00039
RC_3,C2,1282,2476,"1.23852, 1.30698, 1.6846","±0.00038, ±0.00033, ±0.0013",1.41004,±0.00067,1.38121,±0.00078
RC_3,C3,854,2895,"10.9884, 10.5080, 10.7303","±0.0086, ±0.0042, ±0.0047",10.7422,±0.0058,10.7134,±0.0058
RC_3,C4,1279,2902,"7.4866, 7.3775, 7.560","±0.0045, ±0.0024, ±0.003",7.4747,±0.0033,7.4459,±0.0033
RC_3,C5,1708,2905,"5.3226, 5.2174, 5.5538","±0.0024, ±0.0013, ±0.0024",5.365,±0.002,5.336,±0.002
