ImageName,Dose,ROIShape,ROISize,ROIX_orig,ROIY_orig,MeanR,MeanG,MeanB,StdDevR,StdDevG,StdDevB,NumPixels
0_300dpi_0Gy.tiff,0.0,rectangle,50,1286.55,2429.66,149.67,139.83,90.34,2.07,1.68,2.03,2500
1_300dpi_0.498Gy.tiff,0.498,rectangle,50,1344.83,2434.14,111.89,108.69,81.46,1.95,1.83,2.20,2500
2_300dpi_0.990Gy.tiff,0.99,rectangle,50,1152.07,2447.59,94.80,90.21,75.65,2.11,1.77,2.14,2500
3_300dpi_1.980Gy.tiff,1.98,rectangle,50,1291.03,1896.21,76.67,66.36,65.37,2.12,2.01,2.32,2500
4_300dpi_3.954Gy.tiff,3.954,rectangle,50,1291.03,1873.79,63.94,45.16,54.33,2.26,2.32,2.31,2500
5_300dpi_5.935Gy.tiff,5.935,rectangle,50,1268.62,1882.76,58.74,36.08,47.49,2.17,2.19,2.59,2500
6_300dpi_7.909Gy.tiff,7.909,rectangle,50,1170.00,1918.62,56.34,31.83,42.57,2.18,2.49,2.56,2500
7_300dpi_9.889Gy.tiff,9.889,rectangle,50,1075.86,1882.76,54.22,29.27,39.10,2.34,2.76,2.67,2500
8_300dpi_11.87Gy.tiff,11.87,rectangle,50,1125.17,1891.72,53.05,28.36,37.63,2.67,3.15,2.97,2500
9_300dpi_15.824Gy.tiff,15.824,rectangle,50,1008.62,1851.38,50.61,25.53,34.21,2.44,2.88,2.76,2500
10_300dpi_19.771Gy.tiff,19.771,rectangle,50,1434.48,1416.55,49.25,24.77,31.83,2.51,2.81,3.01,2500
