ImageName,Dose,ROIShape,ROISize,ROIX_orig,ROIY_orig,MeanR,MeanG,MeanB,StdDevR,StdDevG,StdDevB,NumPixels
Cal_0.491Gy.tif,0.491,rectangle,70,296.70,646.03,132.46,152.46,89.46,0.70,0.70,0.70,4900
Cal_0.988Gy.tif,0.988,rectangle,70,138.69,654.04,109.49,139.75,89.72,1.01,0.72,0.73,4900
Cal_0Gy.tif,0.0,rectangle,70,268.44,821.33,164.79,167.77,92.19,0.96,0.91,0.81,4900
Cal_1.977Gy.tif,1.977,rectangle,70,149.96,664.57,77.25,120.89,85.98,1.29,1.01,0.91,4900
Cal_3.947Gy.tif,3.947,rectangle,70,147.00,686.02,44.91,96.07,83.12,1.85,1.24,1.25,4900
Cal_5.924Gy.tif,5.924,rectangle,70,148.29,643.60,34.98,78.78,76.96,1.80,1.10,1.03,4900
Cal_6.633Gy.tif,6.633,rectangle,70,144.99,676.10,32.39,73.81,73.28,1.51,1.00,0.94,4900
Cal_7.894Gy.tif,7.894,rectangle,70,176.83,668.89,31.84,68.49,71.88,1.56,1.00,1.03,4900
Cal_9.87Gy.tif,9.87,rectangle,70,123.10,667.19,30.16,59.93,70.50,1.42,1.01,1.02,4900
Cal_11.847Gy.tif,11.847,rectangle,70,151.98,689.27,32.80,54.53,67.32,1.58,1.08,0.89,4900
Cal_15.794Gy.tif,15.794,rectangle,70,151.47,706.87,32.68,47.10,60.46,1.40,0.96,1.31,4900
