ImageName,Dose,ROIShape,ROISize,ROIX_orig,ROIY_orig,MeanR,MeanG,MeanB,StdDevR,StdDevG,StdDevB,NumPixels
CAL_GM_CMAM_OCTUBRE - copia (2).tif,0.0,rectangle,50,301.30,794.69,45742.11,42466.28,29188.83,338.76,362.94,266.33,2500
CAL_GM_CMAM_OCTUBRE - copia (3).tif,2,rectangle,50,595.07,768.32,41901.12,40259.36,29252.61,261.08,295.44,228.14,2500
CAL_GM_CMAM_OCTUBRE - copia (4).tif,3,rectangle,50,960.40,772.09,38442.81,37846.59,28544.97,242.27,274.82,219.71,2500
CAL_GM_CMAM_OCTUBRE - copia (5).tif,4,rectangle,50,1190.15,779.62,33499.32,33895.64,27313.08,232.25,259.17,212.84,2500
CAL_GM_CMAM_OCTUBRE - copia (6).tif,5,rectangle,50,1483.92,787.15,27077.80,28200.57,25168.89,275.70,315.60,286.95,2500
CAL_GM_CMAM_OCTUBRE - copia (7).tif,6,rectangle,50,271.17,1890.67,23286.61,24747.56,24134.43,236.00,275.22,234.20,2500
CAL_GM_CMAM_OCTUBRE - copia (8).tif,7,rectangle,50,534.81,1841.71,22311.26,23480.27,23472.32,261.41,290.99,245.03,2500
CAL_GM_CMAM_OCTUBRE - copia (9).tif,8,rectangle,50,783.39,1879.38,20598.81,21665.50,22549.72,238.69,263.64,222.37,2500
CAL_GM_CMAM_OCTUBRE - copia (10).tif,9,rectangle,50,1069.62,1879.38,18730.73,19537.36,21542.99,176.99,205.83,171.92,2500
CAL_GM_CMAM_OCTUBRE - copia.tif,10,rectangle,50,1329.50,1875.61,17400.67,17890.55,20686.90,184.03,212.86,182.93,2500
CAL_GM_CMAM_OCTUBRE.tif,11,rectangle,50,1642.10,1837.95,14680.72,14711.52,18366.11,178.95,209.41,187.75,2500
